idx,English,Darija,MSA
336,What an appendectomy?,شنو هيا المصرانة الزايدة؟,يالها من عملية لاستئصال الزائدة الدودية ؟
338,Will you give me bills detailing my medical treatment?,واخا تعطيني التوصيل معا التفاصيل ديال العلاج؟,هل سوف تعطيني الفواتير بالتفاصيل عن العلاج الطبي ؟
346,"I would like a pocket dictionary, please.",بغيت معجم قد الجيب، عافاك.,أريد قاموس جيب ، من فضلك .
349,"Well, I don't know.",إيوا، أنا معرفتش.,حسناً ، أنا لا أعلم .
350,"Congratulations, I learned that you have been promoted to Vice President.",مبروك عليك. سمعت راك ترقيتي لنائب الرئيس.,مبروك ، علمت أنه قد تم ترقيتك إلى نائب رئيس .
351,The evening after tomorrow.,بعد غدا في العشية.,مساء بعد غد .
352,I live in southern Japan.,كا نسكن في اليابان الجنوبية.,أنا أعيش في جنوب اليابان .
353,"Round-trip ticket to Chicago, please.",تذكرة ذهاب و اياب ل شيكاغو، عافاك.,تذكرة ذهاب وعودة إلى شيكاغو ، من فضلك .
355,Do you like to eat salted pork or pork leg with your eggs?,واش تبغي لحم الحلوف عادي ولا مقدد معا البيض ديالك؟,هل تحب أن تتناول مع البيض لحم خنزير مملح أو لحم من فخذ الخنزير ؟
358,To study.,للقرايا.,للدراسة .
359,please hurry up .,عافاك زرب دغيا.,من فضلك ، أسرع .
360,"For two people at seven o'clock, name is Tanap.",لجوج ديال الناس فرقم سبعة . السمية هيا واتانابي.,"لشخصين عند الساعة السابعة , الاسم وتاناب ."
364,The air conditioning does not work .,المكيف ما خدامش.,التكييف لا يعمل .
365,It's like this every Monday.,ديما هاكدا كل اثنين.,أنها هكذا كل يوم اثنين .
366,Please go to the international departure hall. I wish you a happy flight.,عافاك سير لبلاصة ديال الذهاب. رحلة ممتعة.,"من فضلك اذهب على قاعة المغادرة الدولية , أتمنى لك رحلة سعيدة ."
367,Do you have any trips to Paris via Eurostar?,واش عندكم شي رحلات سياحية لباريس في اوروستار؟,هل لديك أية رحلات إلى باريس عبر قطار يوروستار ؟
368,my watch . It was a Seiko digital watch.,الساعة ديالي . كانت سيكو ديجيتال.,ساعتي . كانت ساعة سيكو رقمية .
369,I brought my doctor's medical certificate from Japan.,جبت الشهادة الطبية ديال الطبيب ديالي من اليابان.,لقد أحضرت الشهادة الطبية لطبيبي من اليابان .
370,We are happy to provide you with the drink you want followed by lunch. A complete guide to the drinks we serve on our trip is in our magazine’s information guide.,كاي شرفنا نسربيو ليك المشروب لي كاتفضل، متبوع بالعشا. دليل كامل ديال المشروبات لي كان قدمو فهاد الرحلة كاين في دليل المعلومات ديال المجلة ديالنا.,يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً بالغداء . دليل كامل بالمشروبات التي نقدمها على رحلتنا موجودة في دليل المعلومات الخاص بمجلتنا .
373,Do you live near here?,واش كاتسكن غير هنا؟,هل تعيش بالقرب من هنا ؟
374,Can you send it to Japan?,واش تقدر تسيفطو لليابان؟,هل يمكنك أن ترسلها إلى اليابان ؟
375,Where is the gift shop?,فين كاين المحل ديال الهدايا؟,أين محل الهدايا ؟
379,Can I reply to you on Friday?,واش نقدر نرجع ليك بجواب هاد الجمعة؟,هل يمكن أن أرد عليك يوم الجمعة ؟
380,"Well, let me verify what's missing and what's found. What kind of camera is it?",ايوا، خليني نقلب فالمفقودات . إينا نوع ديال الكاميرا هي؟,"حسنا , دعني أتثبت من المفقود والموجود . أي نوع من الكاميرات هي ؟"
381,"I am very sorry, we are preparing the room you requested for you.",سمح لينا بزاف. كان وجدو الغرفة لي بغيتي.,أنا أسف جدا ، نحن نجهز لك الغرفة التي طلبتها .
383,"Oh, it shows subway stations and bus stops, may I keep it?",اوه، كاي بين محطات ديال الطوبيس و ديال الميترو. نقدر ناخدو؟,"أوه , أنها تظهر محطات مترو الأنفاق ومحطات الحافلات , هل لي أن أحتفظ بها ؟"
384,"Ah, I lost Shibuzuki.",ااه، توحشت شيبازوك.,آه لقد فقدت شبزوكي .
386,I'm on the main road next to Moroa Bay.,انا في الطريق السيار واحد حدا مورو باي.,أنا على الطريق الرئيسي بجانب خليج موروا .
389,"Yes, we have. Half-day curriculum and full-day curriculum.",اه، عندنا . درس ديال نص نهار و درس ديال النهار كامل.,نعم ، نحن لدينا . منهج نصف يوم ، ومنهج ليوم كامل .
390,I prefer shaving.,كا نقتارح الزواهغ ديال الودنين.,أحبذ حلق .
391,"I would like an alarm, please.",بغيت منبه، عافاك.,أريد منبه ، من فضلك .
392,"I want to cancel my reservation, please.",بغيت نلغي الحجز ديالي، عافاك.,أريد إلغاء حجزي ، من فضلك .
394,What is the recovery system?,شنو هوا نظام إعادة الفلوس؟,ما هو نظام الاسترداد ؟
397,The lighting is not working.,الضواو ما خدامينش.,الإضاءة لا تعمل .
398,"By the way, my name is Hiroshi Iijima.",بالمناسبة، سميتي هيروشي إيجيما .,بالمناسبة ، اسمي هيروش إيجيما .
400,What is the time difference between Tokyo and here?,شنو هوا الفرق في الوقت بين طوكيو و هنا؟,ما هو فارق التوقيت بين طوكيو وهنا ؟
401,"This train stops in Lake Forest, doesn't it?",هاد الطران كاي وقف في لايك فوريست، ياك؟,"هذا القطار يتوقف في لاك فورست , أليس كذلك ؟"
403,How much is the total price?,بشحال كاي دير فكولشي؟,كم السعر الإجمالي ؟
404,Thank you sir.,شكراً، أسيدي.,شكراً يا سيدي .
405,"Move forward, turn right at the third corner.",سير نيشان و دور على ليمن فالزنقة التالتة.,تقدم للأمام اتجه يمنياً عند الناصية الثالثة .
407,I feel a sharp pain in my stomach.,عندي وجع حاد فالمعدة ديالي.,أشعر بألم حاد في معدتي .
408,Most Japanese people eat octopus and squid.,الأغلبية ديال اليابانيين كاياكلو الروطال و الكالامار.,معظم اليابانيين يأكلون الأخطبوط والحبار .
411,did you see that ?,واش شفتي داكشي؟,هل رأيت ذلك ؟
412,it is a gift . Can you wrap this gift for me?,راه كادو . تقدر تجمعو ليا فالورق ديال الهدايا؟,أنها هدية . هل يمكنك أن تقوم بلف هذه الهدية لي .
414,"Good evening, Mrs. Kent. We haven't met for a long time.",مساء الخير، مادام كينت . وقت طويل هادا باش ماشفناكش.,مساء الخير ، السيدة كنت . لم نلتقي منذ زمن بعيد .
416,"Can I get two second class tickets to Chicago, please?",عطيني جوج تذاكر الدرجة الثانية لشيكاغو، عافاك؟,"هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغوا , من فضلك ؟"
417,I am happier.,الشرف يحسن ليا أنا.,أنا أسعد .
419,I went to New York.,مشيت لنيو يورك.,لقد ذهبت إلى نيويورك .
422,I would like to change my reservation to flight number two zero five on October 2nd.,بغيت نبدل الحجز ديالي للرحلة جوج صفر خمسة للثاني في أكتوبر.,أود أن أغير حجزي إلي الرحلة الجوية رقم اثنان صفر خمسة في الثاني من أكتوبر .
423,What is the flight number?,شنو هو رقم الرحلة؟,ما هو رقم الرحلة الجوية ؟
426,Where is Delta's registration table?,فين كاين مكتب التسجيل ديال ديلتا؟,أين طاولة التسجيل الخاصة بشركة دلتا ؟
427,Is this a low sodium meal?,واش هادي وجبة قليلة الصوديوم؟,هل هذه وجبة منخفضة الصوديوم ؟
429,This item is not allowed.,هاد المادة ما مسموحش بيها.,هذا البند غير مسموح به .
431,I think we can. Here is your paper.,كان ظن بلي نقدرو. ها هو القميص ديالك.,أعتقد أننا نستطيع . ها هي ورقتك .
